id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
30901,Italy,"Earthy aromas of underbrush, tobacco leaf, truffle and red berries take center stage in this intense blend of 90% Sangiovese and 10% Canaiolo/Colorino. The palate delivers succulent black cherry, mint and menthol sprinkled with toasted notes and espresso. It has structure and finesse alongside gripping, tongue-drying tannins. Give this a few more years. Drink 2016–2024.",Il Poggio Riserva,91,60.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Monsanto 2009 Il Poggio Riserva  (Chianti Classico),Red Blend,Castello di Monsanto
30902,Italy,"This vibrant blend of 90% Sangiovese, 5% Canaiolo and 5% Merlot opens with an intense fragrance of violet, lilac and raspberries accented with whiffs of orange peel and sandalwood. Juicy black cherry, black plum, white pepper and cinnamon-spice take center stage on the palate alongside a firm, tannic backbone. Already delicious, hold for complexity. Drink through 2018.",Riserva,91,25.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Monterinaldi 2008 Riserva  (Chianti Classico),Red Blend,Castello di Monterinaldi
30905,Australia,"The Clare Valley is an underappreciated source of fine Cabernet Sauvignon, and this is one of the region's standard bearers. Minty notes add a dose of Australia to this slightly austere wine, which also boasts dark chocolate, cassis and tobacco. Drink 2015–2025.",St. Andrews Single Vineyard Release,91,50.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2009 St. Andrews Single Vineyard Release Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield
30907,France,"With age, this 2002 has become fascinating, still showing sweetness while also offering dried fruits, prunes, figs and spice. A nutty character suggests the wine can still age for many years.",Vin de Paille,91,0,France Other,Côtes du Jura,,Roger Voss,@vossroger,Château d'Arlay 2002 Vin de Paille White (Côtes du Jura),White Blend,Château d'Arlay
30908,France,"Dark in color, this powerful and concentrated wine is still very young. There is possibly too much extraction here that shows in bitterness, but the wine also has the potential for aging with its rich underlying fruitiness. Don't drink before 2015.",La Chevalerie,91,50.0,Loire Valley,Anjou Villages Brissac,,Roger Voss,@vossroger,Château la Varière 2011 La Chevalerie Cabernet Sauvignon (Anjou Villages Brissac),Cabernet Sauvignon,Château la Varière
30909,US,"The Horseshoe Bend Vineyard, which is in the cool Laguna part of the southern valley, is capable of great Pinot Noir. In a warmer vintage, the wines are lush. In chilly ones like 2011, they're elusive. But the wines always have great structure. This bottling is marked by acidity, tannins, dryness and a superbly silky mouthfeel. The flavors veer between barely ripe cherries and pomegranates to green tomatoes and celery leaf. The wine needs time. Give it until 2017 to begin to show its stuff.",Horseshoe Bend Vineyard,91,50.0,California,Russian River Valley,Sonoma,,,Davis Family 2011 Horseshoe Bend Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Davis Family
30910,US,"From a vineyard on Howell Mountain, the wine shows not only that area's hard tannins, but also the Duckhorn style of tough young Merlots. The wine is vastly rich in black and red currants, violets, anise and lavishly toasted new French oak. Start drinking it in 2017, and it should be going strong for an additional decade.",Stout Vineyard,91,85.0,California,Napa Valley,Napa,,,Duckhorn 2010 Stout Vineyard Merlot (Napa Valley),Merlot,Duckhorn
30911,France,"Full and ripe, the wine has smooth flavors of apricots, ripe apples and pears and a structure that includes wood tastes. It's a rich wine, hinting at spice and showing fresh, juicy acidity at the end. Drink until 2019.",Grande Fumé,91,37.0,Loire Valley,Pouilly-Fumé,,Roger Voss,@vossroger,Fournier Père et Fils 2010 Grande Fumé  (Pouilly-Fumé),Sauvignon Blanc,Fournier Père et Fils
30915,US,"Visitors to Sonoma Valley are familiar with the beautiful Cherryblock Vineyard, which has been Sebastiani's flagship Cabernet source for decades. The 2010 vintage was kind to it, producing fruit that's not only exceptionally ripe, but well structured. Balanced acidity and soft, intricate tannins house luscious black cherry, currant, anise and new oak flavors. The wine should age in the bottle for at least eight years.",Cherryblock,91,90.0,California,Sonoma Valley,Sonoma,,,Sebastiani 2010 Cherryblock Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani
30906,US,"So dry and acidic that it comes as a surprise how ripe in fruit it is. Apricots, tangerines, limes and peaches are the fruits, along with a granite-like minerality. There's also lots of new French oak. The Califa Selection is a block selection that shows particular purity. Drink now–2015.",Califa Selection Estate,91,40.0,California,Edna Valley,Central Coast,,,Chamisal Vineyards 2011 Califa Selection Estate Chardonnay (Edna Valley),Chardonnay,Chamisal Vineyards
30913,US,"Young, tart and tannic, this offers primary fruit flavors of cranberry and pie cherry. A hint of smoked meat wafts across the palate and through the finish.",Shea Vineyard,91,55.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Raptor Ridge 2012 Shea Vineyard Pinot Noir,Pinot Noir,Raptor Ridge
30919,Argentina,"This starts out tarry, but airing reveals aromas of tobacco, asphalt and oaky berry fruits. The mouthfeel is flush and extracted, but not overly heavy. Flavors of black fruits are more generic than specific, while the finish is tannic, with lively acidity. The blend is Malbec, Cabernet Sauvignon and Bonarda.",Corte B,91,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Vistalba 2011 Corte B Red (Mendoza),Red Blend,Vistalba
30921,Spain,"Earthy, subtle aromas of cured meats, licorice and baked plum are smooth and sly. This feels firm, structured and staunch in the mouth, while flavors of earthy plum, berry, carob, tea and spice finish dry and elegant. This mature Rioja is ready to drink now.",Vendimia Seleccionada Reserva,91,34.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Zinio 2006 Vendimia Seleccionada Reserva  (Rioja),Tempranillo,Zinio
30920,US,"The instantly recognizable label, sporting a bright green praying mantis on a plain brown background, is a quirky choice for a fine, estate-grown reserve. The fruit reaches blackberry concentration, with stiff, ripe tannins swathed in dark chocolate. Hints of earth and stem fade out through a lingering finish. It's already drinking well but could be cellared until 2019.",Praying Mantis,91,30.0,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine ,Watermill 2009 Praying Mantis Syrah (Walla Walla Valley (OR)),Syrah,Watermill
30924,US,"This outstanding Chardonnay is made from 100% Dijon clones, sourced from Lange Estate, Freedom Hill and Durant vineyards. Tasty, toasty, creamy and fresh, this is a rich, palate-coating wine with a mix of crisp apple, pear and melon fruit. The texture and depth are lovely.",Three Hills Cuvée,91,38.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Lange 2012 Three Hills Cuvée Chardonnay (Willamette Valley),Chardonnay,Lange
30927,US,"Stark has nailed the essence of Barbera in this wine—it's juicy, textured, balanced, fruity and yes, delicious. Awash in bright blackberry and red cherry fruit, it'll go down easy with food or without, a delightful addition to the bounty of Sierra Foothills Barbera from a Healdsburg-based producer.",Damiano Vineyard,91,34.0,California,Sierra Foothills,Sierra Foothills,Virginie Boone,@vboone,Stark 2012 Damiano Vineyard Barbera (Sierra Foothills),Barbera,Stark
30928,Argentina,"Minerally, earthy aromas of plum and blackberry are oaky and attractive. This is round and well balanced, with cassis, blackberry, spice and herbal flavors settling on a spicy finish led by cardamom and clove notes as well as a smooth feel. Drink through 2017.",Gran Medalla,91,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Trapiche 2010 Gran Medalla Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Trapiche
30931,US,"Deeply flavored, dense and toasty, this full-throttle bottle punches up flavors of cherries and roasted walnuts. Tannins are thick and have a hint of char, and the big flavors are all in proportion.",Reserve Cuvée,91,39.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Vercingetorix VX 2012 Reserve Cuvée Pinot Noir (Willamette Valley),Pinot Noir,Vercingetorix VX
30929,US,"Sweet cherry-vanilla rolls off the palate in this concentrated, lush and velvety Pinot Noir that offers all the aspects of classic Russian River Valley fruit. The texture is seamlessly integrated around firm, supple tannins and bright, earthy red fruit.",Pleasant Hill Vineyard,91,55.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Whetstone 2012 Pleasant Hill Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Whetstone
30934,Argentina,"Spiced cherry, brandied plum and overt but high-quality buttery oak aromas open this red-fruit-driven Malbec from the heart of the Uco Valley in Mendoza. Flavors of toasted, creamy oak rest easily on top of kirsch and red plum flavors, while chocolaty, toasty, spicy flavors direct the finish. Drink this well-oaked, expressive heavyweight now through 2020.",Gran Reserva,91,65.0,Mendoza Province,La Consulta,,Michael Schachner,@wineschach,Altocedro 2012 Gran Reserva Malbec (La Consulta),Malbec,Altocedro
30935,Italy,"Intense aromas of Spanish broom, lychee, beeswax, pear and a hint of petrol lead the nose. The multifaceted palate delivers citrus, green apple, stone fruit, mineral and dried herb alongside firm acidity. This compelling wine continuously evolves in the glass.",Pietramarina Bianco Superiore,91,45.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Benanti 2009 Pietramarina Bianco Superiore  (Etna),Carricante,Benanti
30937,France,"Now at its peak, this rich, rounded wine is full of spice and tropical fruits, and is full in the mouth. The explosion of ripe fruits is only lightly restrained by some final acidity. This joyous wine is ready to drink.",Les Éléments,91,26.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Bott-Geyl 2012 Les Éléments Gewurztraminer (Alsace),Gewürztraminer,Domaine Bott-Geyl
30938,US,"It's rare to find this variety in Pinot-heavy Russian River Valley, but this producer treats it with respect, crafting a minuscule amount of worthy flavor, the 100% Petite Sirah awash in velvety tannins that tease in coconut and vanilla. Soft oak is supported by smoky leather, chocolate and blackberry, a dustiness completing the picture.",Landy Vineyard,91,42.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Fulcrum 2012 Landy Vineyard Petite Sirah (Russian River Valley),Petite Sirah,Fulcrum
30939,US,"The bubbles are a little scoury on this delightfully dry rosé, which makes it feel rough in the mouth. Aside from that, it's rich and complex in orange, strawberry, vanilla and yeasty flavors.",Brut Rosé,87,28.0,California,Russian River Valley,Sonoma,,,J Vineyards & Winery NV Brut Rosé Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery
30940,France,"Fresh, simple, apple-flavored wine, with an edge of citrus and soft vanilla flavors. The wine is attractive and clean with elegance coupled to ripe fruit.",St Amand,87,13.0,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Labouré-Roi 2009 St Amand  (Mâcon-Villages),Chardonnay,Labouré-Roi
30936,US,"This blend of 43% Merlot, 28% Malbec, 14% Cabernet Sauvignon and 15% Cabernet Franc is the winery's star bottling of the vintage, offering aromas of plum, leather, sage, chocolate syrup and crushed breathmints. The palate is excitingly dynamic, ranging from mocha-blackberry reduction sauce to tobacco, coffee and cassis. The tannins could use a touch more mellowing.",Changing Leaves Estate Grown,91,52.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Burbank Ranch 2012 Changing Leaves Estate Grown Red (Paso Robles),Bordeaux-style Red Blend,Burbank Ranch
30943,France,"Warm and rounded wine, with almond flavor and the ripe red fruits to go with the intense and balancing acidity. The wine is rich, while also well textured, giving fine final acidity.",Perle de Nuit Blanc de Noirs Brut,87,22.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Louis Bouillot NV Perle de Nuit Blanc de Noirs Brut  (Crémant de Bourgogne),Pinot Noir,Louis Bouillot
30942,France,"With its strawberry flavor and tight acidity, this is an attractive, clean sparkling wine. It has just the right balance between acidity and bright fruit, leaving a textured aftertaste.",Perle d'Aurore Rosé Brut,87,20.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Louis Bouillot NV Perle d'Aurore Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Louis Bouillot
30944,Italy,"Ruio Brut Prosecco is released a few years after the harvest to allow for evolved aromas of mature melon and apricot. Yet, the wine is streamlined and dry in the mouth with steely bubbles and a touch of almond skin as well.",Brut Ruio,87,20.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Malibràn 2009 Brut Ruio  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Malibràn
30945,US,"A strong Syrah, intense and concentrated in the way of ripe, high-alcohol wines. Shows potent flavors of berries, cherries, bacon and spices, wrapped into smoky oak. Tasty and easy to drink now.",Camel Hill Vineyard,87,55.0,California,Santa Cruz Mountains,Central Coast,,,Martella 2009 Camel Hill Vineyard Syrah (Santa Cruz Mountains),Syrah,Martella
30948,France,"Attractively colored wine with red berry fruits and an edge of bitter cherries, almonds and perfumed acidity. The wine is structured, spicy, full-bodied in character.",Le Pont,87,21.0,Provence,Bandol,,Roger Voss,@vossroger,Ravoire et Fils 2010 Le Pont Rosé (Bandol),Rosé,Ravoire et Fils
30947,France,"Benefiting from the ripe 2009 vintage, the wine shows more ripe fruit than is usual from the Hautes-Côtes. It has rich strawberry flavor along with acidity. The soft tannins add a light sense of structure.",Les Forges,87,0,Burgundy,Bourgogne Hautes Côtes de Beaune,,Roger Voss,@vossroger,Pierre André 2009 Les Forges  (Bourgogne Hautes Côtes de Beaune),Pinot Noir,Pierre André
30949,Italy,"Neutral on the nose, this Italian sparkler offers a sharp and tonic mouthfeel followed by light flavors of citrus and peach. It is dry and cleansing with small, tonic effervescence.",Brut,87,0,Lombardy,Franciacorta,,,,Ricci Curbastro NV Brut Sparkling (Franciacorta),Sparkling Blend,Ricci Curbastro
30951,Argentina,"Opens with tire rubber, char and minty, smoky black fruit. Feels mostly fresh and bold, with blackberry, blueberry and coffee flavors. Just dense, sweet and spicy enough, with espresso bitterness to the finish. Composed and competent value red wine.",Trumpeter,87,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Rutini 2010 Trumpeter Malbec-Syrah (Mendoza),Malbec-Syrah,Rutini
30953,US,"A nice Chardonnay to drink now, with rich tropical fruit, apple and pear flavors, enhanced with vanilla and smoky oak. One of the more successful Silverado Chardonnays of recent years.",Estate Grown,87,25.0,California,Napa Valley,Napa,,,Silverado 2009 Estate Grown Chardonnay (Napa Valley),Chardonnay,Silverado
30957,US,"Concentrated and lush, livelier and better than the producer's 2007 which still needs time to develop, this reserve-level Cab with small amounts of Petit Verdot, Malbec, Carmènere and Cabernet Franc is ready to drink now, its cassis and cranberry fruit showing well.",Reserve,87,39.0,California,El Dorado,Sierra Foothills,Virginie Boone,@vboone,Duarte Georgetown 2008 Reserve Cabernet Sauvignon (El Dorado),Cabernet Sauvignon,Duarte Georgetown
30959,Italy,"Here's a cheerful and bright Prosecco that delivers enticing aromas of dried hay, field flower, peach and light lemon zest. Tonic, lively bubbling would match fried finger foods.",Z Dry Millesimato,87,23.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Zardetto 2010 Z Dry Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Zardetto
30960,US,"While certainly present, apple and stone fruit take a back seat to layers of flint and smoke on this uniquely savory, dry Riesling. Slightly viscous on the palate with a rich, minerally slick, there's a hint of sea salt on the finish making this wine the perfect accompaniment to oysters on the half shell.",Dry,87,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Atwater 2010 Dry Riesling (Finger Lakes),Riesling,Atwater
30962,Italy,"Made with grapes from 50-year-old vines, this has a lush veneer of caramelized cherry lavished on top. Aromas include blueberry, leather and exotic spice; it's hard to imagine what to pair this sweet wine with other than aged cheeses.",Chicca,87,0,Southern Italy,Primitivo di Manduria,,,,Vigne & Vini 2004 Chicca  (Primitivo di Manduria),Primitivo,Vigne & Vini
30963,US,"A blend of Viognier, Roussanne, Sauvignon Blanc and Pinot Grigio, this unoaked wine has complex citrus fruit, vanilla bean, wildflower and spice flavors, brightened by a brisk scour of acidity. It's actually better than many Lodi whites made from the individual varieties, showing the importance of the art of blending.",Brilliant White Wine,87,16.0,California,Lodi,Central Valley,,,Vino Con Brio 2006 Brilliant White Wine White (Lodi),White Blend,Vino Con Brio
30964,US,"Weir has never been my favorite Williams Selyem Pinot, although it has its fans. The ‘05, as with previous vintages, is dry and tannic, showing a toughness that's almost rustic. The flavors are of cherries, cassis, cola, balsamic-splashed sautéed wild mushrooms and dusty spices. Could do interesting things over the years.",Weir Vineyard,87,56.0,California,Yorkville Highlands,North Coast,,,Williams Selyem 2005 Weir Vineyard Pinot Noir (Yorkville Highlands),Pinot Noir,Williams Selyem
30965,Spain,"Starts with aromas of clove, Band-Aid and other spicy aromas. It has a minor herbal essence both on the nose and palate, which is typical of Spanish Cabernet. But the feel is good and chewy, while the oak is moderate as it supports raspberry and dry cherry flavors. Features 15% Tempranillo; drink now.",Gran Coronas Reserva,87,20.0,Catalonia,Penedès,,Michael Schachner,@wineschach,Torres 2003 Gran Coronas Reserva Cabernet Sauvignon (Penedès),Cabernet Sauvignon,Torres
30971,France,"From a vineyard run on biodynamic principles, this wine boasts good, fresh fruit, with great green, crisp acidity and green plum intensity. It's very lively and fresh, but full-bodied.",Domaine de la Boissoneuse,87,0,Burgundy,Chablis,,Roger Voss,@vossroger,Jean-Marc Brocard 2005 Domaine de la Boissoneuse  (Chablis),Chardonnay,Jean-Marc Brocard
30979,US,"The Red Hills Estate bottling sends a spicy note sailing out of the glass, with a pleasing follow-up of red currant, cherry, cinnamon and vanilla. Medium-bodied and displaying a core of tart fruit, this tails off into a tannic finish that needs a bit more polish.",Red Hills Estate,87,85.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Archery Summit 2004 Red Hills Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
30968,US,"This estate reserve wine has more texture and length than their regular estate Pinot Noir, and displays varietal flavors mixing rubarb, strawberry and raspberry preserves.  Some spicy herb adds life to the mid-palate, finishing with a bit of mint.",Nicholas Estate Reserve,87,42.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Anam Cara 2005 Nicholas Estate Reserve Pinot Noir (Willamette Valley),Pinot Noir,Anam Cara
30967,Australia,"Consulting winemaker Ben Glaetzer has fashioned a reasonably full-bodied Cab for the Mitolo family, one that combines some superripe, verging on raisined, elements with hints of tobacco and herbs. Mint, cassis and chocolate round out the palate, finishing softly tannic. Drink now–2010.",Jester,87,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Mitolo 2006 Jester Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Mitolo
30981,Spain,"Borderline exotic on the nose, with aromas of black cherry, violet and a touch of earthy leather. The palate has some prickle and snap to it, but it settles into lively black plum and boysenberry. Finishes smooth, ripe and big, with medium length. The coupage is 80% Syrah and 20% Monastrell.",Nerola,87,23.0,Catalonia,Catalunya,,Michael Schachner,@wineschach,Torres 2005 Nerola Syrah (Catalunya),Syrah,Torres
30984,US,"The Stoller bottling from Chehalem shows some dark, musky flavors, with black cherry fruit wrapped around whiffs of smoke and the commonly found Oregon notes of tomato leaf and bud. Despite its immediate impact, it falls a bit light in the back end, and does not have quite enough weight to support the thick tannins.",Stoller Vineyard,87,44.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2005 Stoller Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Chehalem
30989,Italy,"Pipe and chewing tobacco appear at first and are followed by mature tones of prune, plum and dark spice. This masculine and brawny expression has the acidity to pair with deep pan pizza piled high with toppings.",Ombroso Riserva,88,45.0,Central Italy,Sangiovese di Romagna Superiore,,,,Giovanna Madonia 2008 Ombroso Riserva  (Sangiovese di Romagna Superiore),Sangiovese,Giovanna Madonia
31001,Italy,"Glera (the main grape of Prosecco) is enhanced here with tiny percentages of Perera and Bianchetta (two other indigenous varieties of the Veneto) to produce a clear and light sparkler that is redolent of citrus, white almond and delicate spring flower.",Vigneto Dirupo Brut,87,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Andreola 2012 Vigneto Dirupo Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Andreola
31000,Italy,"Fine perlage and foamy mousse characterize this delicate Prosecco Superiore as it is poured into the glass. Beyond that soft, creamy appearance, this fresh sparkler offers flavors of peach, citrus and honeydew melon.",Brut,87,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Althe'a 2011 Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Althe'a
31002,Italy,Borgoluce is the type of brut sparkling wine that shows all that easy-drinking informality we love to find in Prosecco Superiore. White flower and citrus are the main aromatic elements and the wine is bright and sharply crisp in the mouth.,Brut,87,22.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Borgoluce 2012 Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Borgoluce
31005,Italy,"Mejo shows great ambitions with oak-driven tones of spice and vanilla that cover some of the aromatic freshness of the grape. Peach, tangerine and apricot appear on the close.",Mejo,87,0,Veneto,Veneto,,,,Cescon Italo Storia e Vini 2008 Mejo Sauvignon (Veneto),Sauvignon,Cescon Italo Storia e Vini
31006,US,"A very bright, citrusy Sierra Foothills Sauvignon Blanc, very fairly priced, that tastes of cool lemonade on a summer's day.",Estate,87,10.0,California,Sierra Foothills,Sierra Foothills,Virginie Boone,@vboone,Clos du Lac 2012 Estate Sauvignon Blanc (Sierra Foothills),Sauvignon Blanc,Clos du Lac
31009,US,"Sixty percent Cabernet Franc with the balance made up of Merlot, this wine saw 20 months in oak and another 12 in bottle prior to release. The notes of dark flowers, cherry, and herbs are light, with chewy, slightly dry tannins and tart acidity.",Vinum Pro Virtus Aresenal,87,40.0,Oregon,Applegate Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Quady North 2009 Vinum Pro Virtus Aresenal Red (Applegate Valley),Red Blend,Quady North
31008,Italy,"Made with biodynamic and organically-farmed fruit, this cheerful vineyard-designate Prosecco Superiore sports the traditional string closure instead of a sparkling cage and capsule. The contents of the bottle shine bright with a lively, bubbly appearance and simple aromas of citrus and peach.",Col di Manza Millesimato Rive di Ogliano,87,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Perlage 2012 Col di Manza Millesimato Rive di Ogliano  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Perlage
30969,Italy,"Three native grapes – Inzolia, Catarratto and Grillo – create the blend and show the potential of warm climate, Sicilian whites. This is a surprisingly fresh and crisp wine – reminiscent of cooler climates – with pungent aromas of kiwi, honeydew melon and cut grass.",Don Pietro,87,16.0,Sicily & Sardinia,Sicilia,,,,Principi di Spadafora 2006 Don Pietro White (Sicilia),White Blend,Principi di Spadafora
30970,Argentina,"More syrupy and chunky than ideal, but still a good wine with grilled meat, root beer and berry extract on the bouquet. The body seems a little baked and heavy, with molasses and raisin flavors mixing with blackberry. Finishes with melted brown sugar and soft tannins. A full, deep wine that shows a few signs of being overripe.",Afincado Las Compuertas Vineyard,87,45.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Terrazas de Los Andes 2004 Afincado Las Compuertas Vineyard Malbec (Mendoza),Malbec,Terrazas de Los Andes
30974,US,"This is a pleasant bottle, with pretty varietal scents of berry, flower and light spice. The tannins are light and rather soft, and winemaker Laurent Montalieu has kept the wine in perfect balance for its modest scale.",Del-Mar Private Reserve,87,32.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Evergreen 2005 Del-Mar Private Reserve Pinot Noir (Willamette Valley),Pinot Noir,Evergreen
30973,US,"Yes, it's from Da Coach, of Bears legend, and the wine lives up to its gluteus moniker. There's nothing subtle about this blend of Zin, Syrah, Petite Sirah and Viognier. It's big in brambly berry and citrus flavors, tannic, high in alcohol, rich in tannins, and made for tailgate barbecue.",Kick Ass Red,87,50.0,California,Mendocino,,,,Mike Ditka 2005 Kick Ass Red Red (Mendocino),Red Blend,Mike Ditka
30975,US,"Dry, full-bodied and tannic, this wine is forward in blackberry jam, cherry, cocoa and oak flavors, with something meaty and leathery-sweet in the finish. It's a robust, even complex wine that will pair nicely with grilled meats.",Grand Reserve,87,40.0,California,California,California Other,,,French Hill 2005 Grand Reserve Petit Verdot (California),Petit Verdot,French Hill
30976,France,"Named after the river that flows past Chablis, this is a ripe, fruity wine, with yellow fruit flavors and good ripeness. Unoaked, it has good concentration as well as richness.",La Sereine,87,20.0,Burgundy,Chablis,,Roger Voss,@vossroger,La Chablisienne 2005 La Sereine  (Chablis),Chardonnay,La Chablisienne
